# Sekunden Skt.Teile
0	0.770
0	0.783
2	0.540
2	0.538
4	0.399
4	0.372
6	0.282
6	0.278
8	0.201
8	0.202
10	0.155
10	0.145
20	0.046
20	0.037
30	0.021
30	0.020
60	0.016
60	0.015
